type,bg,char,avatar,name,text
start,,,,,
dialog,images/bg_dugujia.png,,,,独孤皇后，名伽罗，河南洛阳人，周大司马独孤信之女
dialog,images/bg_dugujia.png,,,,周朝鼎盛时，独孤氏之姊为周明帝后，你的长女为周宣帝后，贵戚之盛，历朝历代莫之与比
dialog,images/bg_dugujia.png,,,,而独孤氏本人却谦卑自守，世人称之
dialog,images/bg_chaotang.png,,,,突厥曾经与中原贸易，边境郡守收获一盒夜明珠，价值八百万钱，献于独孤氏，独孤氏却拒绝收下
dialog,images/bg_chaotang_Tagara.png,,images/avatar_Tagara.png,独孤伽罗,珍玩非我所需，今戎狄屡寇，将士疲劳，不如将这明珠换得钱币，分赏有功之将士
dialog,images/bg_chaotang.png,,,,百僚闻此事，都来道贺，你也对她愈加尊敬
dialog,images/bg_chaotang.png,,,,独孤氏双亲早逝，公卿父母尚在者，独孤氏常常致礼问候
dialog,images/bg_chaotang.png,,,,独孤氏颇仁爱，每闻大理寺决狱，未尝不流涕
dialog,images/bg_chaotang.png,,,,你每次临朝，独孤氏都要旁听，政有所失，随时匡谏，对朝政多有帮助。你二人意见往往相合，宫中称为“二圣”
dialog,images/bg_anji.png,,images/avatar_Yangjian.png,你（杨坚）,世人不见隐私之处，故而对伽罗颇有赞誉
dialog,images/bg_anji.png,,images/avatar_Yangjian.png,你（杨坚）,实际上，与伽罗亲密相处，并不自在……
dialog,images/bg_qingong.png,,,,某个寻常早晨，你闻到一股铁锈味，于是自寝宫醒来
dialog,images/bg_qingong.png,,,,你翻身下床，打个哈欠，伸个懒腰，回味昨夜的欢爱
dialog,images/bg_qingong.png,,images/avatar_Yangjian.png,你（杨坚）,嘿嘿~
dialog,images/bg_qingong.png,,,,她侧身躺在榻上，背对着你，肩颈方正而光滑，犹如鼎簋之耳
dialog,images/bg_qingong.png,,images/avatar_Yangjian.png,你（杨坚）,尉迟爱姬~以后随朕左右侍奉，如何？
dialog,images/bg_qingong.png,,,,美人没有反应，你以为她仍在熟睡
