type,bg,char,avatar,name,text
start,,,,,
dialog,scenes/school.png,,avatar/xianfuren.png,冼夫人,（参观新州乡）这里的学生，多是俚僚子弟？
dialog,scenes/school.png,,avatar/Teacher.png,乡学先生,回夫人，正是。自夫人推行教化以来，各族子弟纷纷入学，现有学生二百余人。
dialog,scenes/school.png,,avatar/xianfuren.png,冼夫人,学好汉文，通达事理，将来可为官为吏，造福乡里。我俚人子弟，也要读书明理。
dialog,scenes/school.png,,avatar/LiQiuZhang.png,俚族学生,夫人，我们学汉字、读经典，还能保留自己的语言和习俗吗？
dialog,scenes/school.png,,avatar/xianfuren.png,冼夫人,当然可以。汉俚一家，互相学习，方能长久和睦。你们既要学汉字经典，也要传承俚人文化。
dialog,scenes/school.png,,avatar/xianfuren.png,冼夫人,我将上报朝廷，请求再拨银两，扩建乡学，聘请更多先生。还要编纂《汉俚对照字书》，方便俚人学习。
dialog,scenes/school.png,,avatar/xianfuren.png,冼夫人,另在各州设立“义学”，贫寒子弟免束脩。读书改变命运，教化开启民智。
dialog,scenes/school.png,,avatar/xianfuren.png,冼夫人,（取出锦盒）这是独孤皇后赐我的首饰和宴服，今日我将其赐给乡学，奖掖优秀学子。
end,,,,,
